Subsystem,Protein Association
"Transport, Inner Membrane",P31448
"Transport, Inner Membrane",P31466
"Transport, Inner Membrane",P31547
"Transport, Inner Membrane",P31548
"Transport, Inner Membrane",P31549
"Transport, Inner Membrane",P31550
"Transport, Inner Membrane",P31553
"Transport, Inner Membrane",P31675
"Transport, Inner Membrane",P32136
"Transport, Inner Membrane",P32137
"Transport, Inner Membrane",P32705
"Transport, Inner Membrane",P32720
"Transport, Inner Membrane",P32721
"Transport, Inner Membrane",P33024
"Transport, Inner Membrane",P33026
"Transport, Inner Membrane",P33231
"Transport, Inner Membrane",P33359
"Transport, Inner Membrane",P33360
"Transport, Inner Membrane",P33361
"Transport, Inner Membrane",P33362
"Transport, Inner Membrane",P33931
"Transport, Inner Membrane",P36655
"Transport, Inner Membrane",P36672
"Transport, Inner Membrane",P36837
"Transport, Inner Membrane",P37002
"Transport, Inner Membrane",P37028
"Transport, Inner Membrane",P37188
"Transport, Inner Membrane",P37313
"Transport, Inner Membrane",P37387
"Transport, Inner Membrane",P37388
"Transport, Inner Membrane",P37674
"Transport, Inner Membrane",P37675
"Transport, Inner Membrane",P37676
"Transport, Inner Membrane",P37772
"Transport, Inner Membrane",P37774
"Transport, Inner Membrane",P37902
"Transport, Inner Membrane",P38101
"Transport, Inner Membrane",P39196
"Transport, Inner Membrane",P39265
"Transport, Inner Membrane",P39276
"Transport, Inner Membrane",P39277
"Transport, Inner Membrane",P39285
"Transport, Inner Membrane",P39301
"Transport, Inner Membrane",P39325
"Transport, Inner Membrane",P39328
"Transport, Inner Membrane",P39344
"Transport, Inner Membrane",P39386
"Transport, Inner Membrane",P39398
"Transport, Inner Membrane",P39414
"Transport, Inner Membrane",P39835
"Transport, Inner Membrane",P41036
"Transport, Inner Membrane",P43667
"Transport, Inner Membrane",P45539
"Transport, Inner Membrane",P45562
"Transport, Inner Membrane",P46133
"Transport, Inner Membrane",P46136
"Transport, Inner Membrane",P46481
"Transport, Inner Membrane",P46482
"Transport, Inner Membrane",P52094
"Transport, Inner Membrane",P54745
"Transport, Inner Membrane",P56579
"Transport, Inner Membrane",P56580
"Transport, Inner Membrane",P60061
"Transport, Inner Membrane",P60752
"Transport, Inner Membrane",P60844
"Transport, Inner Membrane",P63235
"Transport, Inner Membrane",P64550
"Transport, Inner Membrane",P67444
"Transport, Inner Membrane",P68183
"Transport, Inner Membrane",P68187
"Transport, Inner Membrane",P69210
"Transport, Inner Membrane",P69212
"Transport, Inner Membrane",P69432
"Transport, Inner Membrane",P69490
"Transport, Inner Membrane",P69783
"Transport, Inner Membrane",P69786
"Transport, Inner Membrane",P69791
"Transport, Inner Membrane",P69795
"Transport, Inner Membrane",P69797
"Transport, Inner Membrane",P69801
"Transport, Inner Membrane",P69805
"Transport, Inner Membrane",P69811
"Transport, Inner Membrane",P69820
"Transport, Inner Membrane",P69822
"Transport, Inner Membrane",P69824
"Transport, Inner Membrane",P69826
"Transport, Inner Membrane",P69828
"Transport, Inner Membrane",P69831
"Transport, Inner Membrane",P69874
"Transport, Inner Membrane",P75712
"Transport, Inner Membrane",P75742
"Transport, Inner Membrane",P75783
"Transport, Inner Membrane",P75796
"Transport, Inner Membrane",P75797
"Transport, Inner Membrane",P75798
"Transport, Inner Membrane",P75799
"Transport, Inner Membrane",P75826
"Transport, Inner Membrane",P75851
"Transport, Inner Membrane",P75853
"Transport, Inner Membrane",P75892
"Transport, Inner Membrane",P75905
"Transport, Inner Membrane",P76037
"Transport, Inner Membrane",P76108
"Transport, Inner Membrane",P76128
"Transport, Inner Membrane",P76142
"Transport, Inner Membrane",P76249
"Transport, Inner Membrane",P76264
"Transport, Inner Membrane",P76350
"Transport, Inner Membrane",P76352
"Transport, Inner Membrane",P76460
"Transport, Inner Membrane",P76630
"Transport, Inner Membrane",P77156
"Transport, Inner Membrane",P77202
"Transport, Inner Membrane",P77257
"Transport, Inner Membrane",P77268
"Transport, Inner Membrane",P77272
"Transport, Inner Membrane",P77304
"Transport, Inner Membrane",P77308
"Transport, Inner Membrane",P77338
"Transport, Inner Membrane",P77463
"Transport, Inner Membrane",P77589
"Transport, Inner Membrane",P77610
"Transport, Inner Membrane",P77622
"Transport, Inner Membrane",P77672
"Transport, Inner Membrane",P77733
"Transport, Inner Membrane",P77795
"Transport, Inner Membrane",Q46817
"Transport, Inner Membrane",Q46821
"Transport, Inner Membrane",Q46839
"Transport, Inner Membrane",Q46916
"Transport, Inner Membrane",Q47142
"Transport, Inner Membrane",Q47537
"Transport, Inner Membrane",Q47538
"Transport, Inner Membrane",Q47539
"Transport, Inner Membrane",Q47689
"Transport, Inner Membrane",Q6BEX0
"Transport, Outer Membrane",P02916
"Transport, Outer Membrane",P02925
"Transport, Outer Membrane",P02929
"Transport, Outer Membrane",P02930
"Transport, Outer Membrane",P02931
"Transport, Outer Membrane",P02932
"Transport, Outer Membrane",P02943
"Transport, Outer Membrane",P04982
"Transport, Outer Membrane",P04983
"Transport, Outer Membrane",P05825
"Transport, Outer Membrane",P06129
"Transport, Outer Membrane",P06971
"Transport, Outer Membrane",P06996
"Transport, Outer Membrane",P0A927
"Transport, Outer Membrane",P0ABU7
"Transport, Outer Membrane",P0ABV2
"Transport, Outer Membrane",P0AE06
"Transport, Outer Membrane",P0AEX9
"Transport, Outer Membrane",P10384
"Transport, Outer Membrane",P13036
"Transport, Outer Membrane",P16869
"Transport, Outer Membrane",P17315
"Transport, Outer Membrane",P24177
"Transport, Outer Membrane",P31224
"Transport, Outer Membrane",P38054
"Transport, Outer Membrane",P68187
"Transport, Outer Membrane",P69856
"Transport, Outer Membrane",P75780
"Transport, Outer Membrane",P76773
"Transport, Outer Membrane",P77211
"Transport, Outer Membrane",P77214
"Transport, Outer Membrane",P77239
"Transport, Outer Membrane",P77747
"Transport, Outer Membrane Porin",P02931
"Transport, Outer Membrane Porin",P02932
"Transport, Outer Membrane Porin",P06996
"Transport, Outer Membrane Porin",P0A910
"Transport, Outer Membrane Porin",P75733
"Transport, Outer Membrane Porin",P76045
"Transport, Outer Membrane Porin",P76773
"Transport, Outer Membrane Porin",P77747
tRNA Charging,P00954
tRNA Charging,P00956
tRNA Charging,P00957
tRNA Charging,P00959
tRNA Charging,P00960
tRNA Charging,P00961
tRNA Charging,P00962
tRNA Charging,P04805
tRNA Charging,P07118
tRNA Charging,P07395
tRNA Charging,P07813
tRNA Charging,P08312
tRNA Charging,P0A8L1
tRNA Charging,P0A8M0
tRNA Charging,P0A8M3
tRNA Charging,P0A8N3
tRNA Charging,P0A8N5
tRNA Charging,P0AGJ9
tRNA Charging,P11875
tRNA Charging,P16659
tRNA Charging,P21888
tRNA Charging,P21889
tRNA Charging,P60906
"Tyr, Trp, and Phe Metabolism",P00509
"Tyr, Trp, and Phe Metabolism",P00887
"Tyr, Trp, and Phe Metabolism",P00888
"Tyr, Trp, and Phe Metabolism",P00894
"Tyr, Trp, and Phe Metabolism",P00895
"Tyr, Trp, and Phe Metabolism",P00904
"Tyr, Trp, and Phe Metabolism",P00909
"Tyr, Trp, and Phe Metabolism",P04693
"Tyr, Trp, and Phe Metabolism",P05194
"Tyr, Trp, and Phe Metabolism",P07023
"Tyr, Trp, and Phe Metabolism",P07639
"Tyr, Trp, and Phe Metabolism",P0A6D3
"Tyr, Trp, and Phe Metabolism",P0A6D5
"Tyr, Trp, and Phe Metabolism",P0A6D7
"Tyr, Trp, and Phe Metabolism",P0A6E1
"Tyr, Trp, and Phe Metabolism",P0A853
"Tyr, Trp, and Phe Metabolism",P0A877
"Tyr, Trp, and Phe Metabolism",P0A879
"Tyr, Trp, and Phe Metabolism",P0A9J8
"Tyr, Trp, and Phe Metabolism",P0AB80
"Tyr, Trp, and Phe Metabolism",P0AB91
"Tyr, Trp, and Phe Metabolism",P0AE22
"Tyr, Trp, and Phe Metabolism",P12008
"Tyr, Trp, and Phe Metabolism",P15770
"Tyr, Trp, and Phe Metabolism",P77567
Unassigned,P0AEP7
Unassigned,P37666
Unassigned,P75913
Unassigned,P77364
Unassigned,P0A9B2
Unassigned,P31806
Unassigned,P00448
Unassigned,P00634
Unassigned,P06610
Unassigned,P0A6M2
Unassigned,P0A6V5
Unassigned,P0AA25
Unassigned,P0ABE9
Unassigned,P0ABY4
Unassigned,P0AC59
Unassigned,P0AC62
Unassigned,P0AC69
Unassigned,P0AE08
Unassigned,P0AE52
Unassigned,P0AEG4
Unassigned,P0AEG6
Unassigned,P0AGD1
Unassigned,P0AGD3
Unassigned,P0AGG4
Unassigned,P13029
Unassigned,P16456
Unassigned,P17444
Unassigned,P17445
Unassigned,P21179
Unassigned,P23930
Unassigned,P25397
Unassigned,P28861
Unassigned,P31142
Unassigned,P35340
Unassigned,P36655
Unassigned,P55734
Unassigned,P61517
Unassigned,P61949
Unassigned,P68688
Unassigned,P69776
Unassigned,P76145
Unassigned,P77202
"Val, Leu, and Ile Metabolism",P00893
"Val, Leu, and Ile Metabolism",P04693
"Val, Leu, and Ile Metabolism",P04968
"Val, Leu, and Ile Metabolism",P05791
"Val, Leu, and Ile Metabolism",P05793
"Val, Leu, and Ile Metabolism",P08142
"Val, Leu, and Ile Metabolism",P09053
"Val, Leu, and Ile Metabolism",P09151
"Val, Leu, and Ile Metabolism",P0A6A6
"Val, Leu, and Ile Metabolism",P0AB80
"Val, Leu, and Ile Metabolism",P0ADF8
"Val, Leu, and Ile Metabolism",P0AGF6
"Val, Leu, and Ile Metabolism",P30125
"Val, Leu, and Ile Metabolism",P30126
"Val, Leu, and Ile Metabolism",P76251
