"Reaction ID","Subsystem"
"R_5DKGR_b2842","Alternate Carbon Metabolism"
"R_5DKGR_b4266","Alternate Carbon Metabolism"
"R_PRCPD","Alternate Carbon Metabolism"
"R_6D6SFK","Alternate Carbon Metabolism"
"R_6D6SPA","Alternate Carbon Metabolism"
"R_BGLA1_b1734","Alternate Carbon Metabolism"
"R_BGLA1_b2716","Alternate Carbon Metabolism"
"R_BGLA1_b3721","Alternate Carbon Metabolism"
"R_CHOLID","Alternate Carbon Metabolism"
"R_GALS3","Alternate Carbon Metabolism"
"R_ACCOAL_b0335","Alternate Carbon Metabolism"
"R_ACCOAL_b4069","Alternate Carbon Metabolism"
"R_ACACCT_b1694","Alternate Carbon Metabolism"
"R_ACACCT_b2222_b2221","Alternate Carbon Metabolism"
"R_BUTCT","Alternate Carbon Metabolism"
"R_HXCT","Alternate Carbon Metabolism"
"R_ADNUC","Alternate Carbon Metabolism"
"R_ALCD19_b1241","Alternate Carbon Metabolism"
"R_ALCD19_b1478","Alternate Carbon Metabolism"
"R_ALDD2y_b0493","Alternate Carbon Metabolism"
"R_ALDD2y_b3003","Alternate Carbon Metabolism"
"R_ALDD2y_b3011","Alternate Carbon Metabolism"
"R_ALDD2y_b3588","Alternate Carbon Metabolism"
"R_ALDD2y_b4269","Alternate Carbon Metabolism"
"R_ALDD4","Alternate Carbon Metabolism"
"R_ALDD19xr","Alternate Carbon Metabolism"
"R_ALDD3y_b3011","Alternate Carbon Metabolism"
"R_ALDD3y_b3588","Alternate Carbon Metabolism"
"R_ALDD3y_b4269","Alternate Carbon Metabolism"
"R_GALM2pp","Alternate Carbon Metabolism"
"R_ALKP","Alternate Carbon Metabolism"
"R_ALLPI","Alternate Carbon Metabolism"
"R_ALLK","Alternate Carbon Metabolism"
"R_ALLULPE","Alternate Carbon Metabolism"
"R_AAMYL","Alternate Carbon Metabolism"
"R_AAMYLpp","Alternate Carbon Metabolism"
"R_TREH","Alternate Carbon Metabolism"
"R_TREHpp","Alternate Carbon Metabolism"
"R_TRE6PS","Alternate Carbon Metabolism"
"R_ALTRH","Alternate Carbon Metabolism"
"R_AMALT4","Alternate Carbon Metabolism"
"R_AMALT3","Alternate Carbon Metabolism"
"R_AMALT2","Alternate Carbon Metabolism"
"R_AMALT1","Alternate Carbon Metabolism"
"R_A5PISO_b2708","Alternate Carbon Metabolism"
"R_A5PISO_b3197","Alternate Carbon Metabolism"
"R_AB6PGH_b2716","Alternate Carbon Metabolism"
"R_AB6PGH_b2901","Alternate Carbon Metabolism"
"R_AB6PGH_b3721","Alternate Carbon Metabolism"
"R_LACZ","Alternate Carbon Metabolism"
"R_LACZpp","Alternate Carbon Metabolism"
"R_CPL","Alternate Carbon Metabolism"
"R_DC6PDA","Alternate Carbon Metabolism"
"R_CINNDO","Alternate Carbon Metabolism"
"R_CYTDH_b0030","Alternate Carbon Metabolism"
"R_CYTDH_b0651","Alternate Carbon Metabolism"
"R_CYTDH_b2162","Alternate Carbon Metabolism"
"R_F1PP_b0822","Alternate Carbon Metabolism"
"R_F1PP_b2293","Alternate Carbon Metabolism"
"R_F1PP_b2690","Alternate Carbon Metabolism"
"R_F1PP_b3697","Alternate Carbon Metabolism"
"R_F6PP_b0822","Alternate Carbon Metabolism"
"R_F6PP_b1727","Alternate Carbon Metabolism"
"R_F6PP_b2293","Alternate Carbon Metabolism"
"R_F6PP_b2690","Alternate Carbon Metabolism"
"R_F6PP_b3826","Alternate Carbon Metabolism"
"R_GAL1PPpp","Alternate Carbon Metabolism"
"R_GLCATr","Alternate Carbon Metabolism"
"R_MNNH","Alternate Carbon Metabolism"
"R_ARMEPNS","Alternate Carbon Metabolism"
"R_DXYLTD_b0269","Alternate Carbon Metabolism"
"R_DXYLTD_b4297","Alternate Carbon Metabolism"
"R_DTARTD","Alternate Carbon Metabolism"
"R_DRPA","Alternate Carbon Metabolism"
"R_DHPTDNR","Alternate Carbon Metabolism"
"R_DHPTDNRN","Alternate Carbon Metabolism"
"R_DHAPT","Alternate Carbon Metabolism"
"R_E4PP_b0822","Alternate Carbon Metabolism"
"R_E4PP_b1727","Alternate Carbon Metabolism"
"R_E4PP_b2293","Alternate Carbon Metabolism"
"R_E4PP_b2690","Alternate Carbon Metabolism"
"R_E4PP_b3826","Alternate Carbon Metabolism"
"R_FORCT","Alternate Carbon Metabolism"
"R_FRUK","Alternate Carbon Metabolism"
"R_FRULYSE","Alternate Carbon Metabolism"
"R_FRULYSK","Alternate Carbon Metabolism"
"R_FRULYSDG","Alternate Carbon Metabolism"
"R_GALCTD","Alternate Carbon Metabolism"
"R_GLTPD","Alternate Carbon Metabolism"
"R_GALKr","Alternate Carbon Metabolism"
"R_GALCTND","Alternate Carbon Metabolism"
"R_GGPTRCO","Alternate Carbon Metabolism"
"R_GGPTRCS","Alternate Carbon Metabolism"
"R_GGGABADr","Alternate Carbon Metabolism"
"R_GGGABAH","Alternate Carbon Metabolism"
"R_GLCRD_b2787","Alternate Carbon Metabolism"
"R_GLCRD_b2788","Alternate Carbon Metabolism"
